AwayTeam,HomeTeam,AwayOffense,AwayDefense,AwayDiscapline,AwayTeamScore,AwayCenScore,AwayDefScore,AwayGScore,AwayWingScore,AwayPlayerScore,AwaySchedScore,AwayFloStrength,Awaylast3games,Awaylast5games,Awaylast7games,Awaylast10games,AwayPlayedYest,HomeOffense,HomeDefense,HomeDiscapline,HomeTeamScore,HomeCenScore,HomeDefScore,HomeGScore,HomeWingScore,HomePlayerScore,HomeSchedScore,HomeFloStrength,Homelast3games,Homelast5games,Homelast7games,Homelast10games,HomePlayedYest,gameID,ASpread,SpreadAwayOdd,HSpread,SpreadHomeOdd,OU,BookWin,BookSpread,predPD,FloWin,predOU,FloSpr,FloOU,SprWinnings,OUWinnings,AwayBookOdds,HomeBookOdds,WLWinnings,AScore,HScore,WTeam,TotGl,PD,MLCorr,ActSpr,ActOU,OUCorr,SprCorr,MLNet,SprNet,OUNet
VAN,CGY,1.236,1.092,-0.58,0.675,1.134,1.144,1.005,0.484,0.953,0.809,0.83,0.506,0.723,0.804,0.802,1,-0.355,0.006,-0.508,0.462,-0.418,-0.174,-0.339,-0.425,0.28,0.337,0.361,0.425,0.425,0.321,0.251,0,VANCGY20231116,1.5,-190,-1.5,155,6.5,CGY,1.5,4.289999999999999,VAN,5.7829999999999995,1.5,Under,0.53,0.91,145,-165,1.45,2,5,CGY,7,3,0,-1.5,Over,0,0,-1,-1,-1
NYI,SEA,-0.747,-0.915,0.973,0.386,-0.038,-0.207,0.67,-0.566,0.439,0.354,0.386,0.302,0.378,0.47,0.514,1,-0.887,-0.507,0.434,0.397,-0.155,-0.237,-0.204,-0.344,0.334,0.328,0.341,0.299,0.338,0.347,0.384,1,NYISEA20231116,1.5,-250,-1.5,200,6,SEA,1.5,0.050000000000000266,NYI,5.787999999999999,1.5,Under,0.4,0.91,190,-210,1.9,3,4,SEA,7,1,0,1.5,Over,0,1,-1,-1,0.4
FLA,LAK,0.729,0.967,0.972,0.655,0.207,0.042,0.069,-0.08,0.489,0.526,0.594,0.63,0.426,0.464,0.439,0,1.367,1.04,-0.45,0.684,0.166,0.431,-0.488,0.499,0.538,0.746,0.678,0.541,0.611,0.659,0.706,0,FLALAK20231116,1.5,-225,-1.5,180,6.5,LAK,1.5,-1.240000000000001,LAK,6.089,1.5,Under,0.44,0.91,170,-190,0.53,1,2,LAK,3,1,1,1.5,Under,1,1,0.53,0.91,0.44
STL,SJS,-0.774,0.482,2.086,0.518,0.444,0.004,1.001,-0.379,0.599,0.626,0.551,0.866,0.381,0.399,0.492,0,-3.392,-2.977,1.603,0.023,-0.82,-1.28,-0.397,-0.719,0.035,-0.006,-0.079,0.245,0.144,0.036,-0.035,0,STLSJS20231116,-1.5,110,1.5,-135,6,STL,1.5,5.9,STL,4.329,-1.5,Under,1.1,0.91,-100,80,1,1,5,SJS,6,4,0,1.5,Under,1,0,-1,0.91,-1
DET,OTT,0.415,0.073,-0.172,0.536,-0.151,0.265,1.247,0.385,0.687,0.594,0.629,0.441,0.832,0.802,0.686,0,1.229,-0.078,0.047,0.593,0.183,0.605,-0.715,0.529,0.537,0.612,0.598,0.615,0.684,0.557,0.579,0,DETOTT20231116,1.5,-210,-1.5,170,6.5,OTT,1.5,-0.08999999999999986,OTT,7.649,1.5,Over,0.48,0.91,160,-180,0.56,4,5,OTT,9,1,1,1.5,Over,1,1,0.56,0.91,0.48
TOR,DET,0.702,-0.499,-0.355,0.509,0.793,0.142,-0.394,-0.135,0.511,0.525,0.518,0.585,0.444,0.596,0.525,0,0.58,-0.117,-0.07,0.536,-0.07,0.199,0.667,0.463,0.634,0.593,0.615,0.44,0.834,0.813,0.694,1,TORDET20231117,-1.5,135,1.5,-160,6.5,TOR,1.5,-1.370000000000001,DET,7.898,1.5,Over,0.62,0.91,-125,105,1.05,3,2,TOR,5,1,0,1.5,Under,0,1,-1,-1,0.62
BUF,WPG,-0.785,-0.078,0.72,0.445,-0.408,-0.223,-0.035,0.006,0.357,0.474,0.409,0.314,0.395,0.417,0.592,0,1.076,0.476,0.721,0.639,0.162,0.281,-0.41,0.857,0.581,0.612,0.631,0.686,0.414,0.554,0.482,0,BUFWPG20231117,1.5,-155,-1.5,125,6.5,WPG,1.5,-2.6200000000000006,WPG,5.893000000000001,-1.5,Under,1.25,0.91,115,-135,0.74,2,3,WPG,5,1,1,1.5,Under,1,0,0.74,0.91,-1
FLA,ANA,0.554,1.097,1.235,0.657,0.174,0.176,0.156,-0.166,0.501,0.518,0.598,0.494,0.424,0.464,0.436,1,-0.629,-0.561,0.13,0.407,0.272,-0.135,0.451,-0.231,0.504,0.512,0.442,0.371,0.421,0.485,0.608,0,FLAANA20231117,-1.5,135,1.5,-160,6.5,FLA,1.5,1.1599999999999993,FLA,5.389000000000001,1.5,Under,0.62,0.91,-125,105,0.8,2,1,FLA,3,1,1,1.5,Under,1,1,0.8,0.91,0.62
MIN,OTT,0.225,-1.519,1.354,0.424,-0.031,0.39,-0.989,0.177,0.401,0.338,0.384,0.182,0.434,0.441,0.398,0,1.451,-0.295,-0.063,0.591,0.261,0.369,-2.678,0.646,0.271,0.634,0.512,0.565,0.689,0.561,0.581,0,MINOTT20231118,1.5,-250,-1.5,200,6.5,OTT,1.5,-1.6800000000000002,OTT,9.49,-1.5,Over,2,0.91,190,-210,0.48,1,2,OTT,3,1,1,1.5,Under,0,0,0.48,-1,-1
VEG,PHI,0.646,1.21,-1.362,0.621,0.293,0.716,1.051,-0.313,0.705,0.725,0.705,0.412,0.757,0.744,0.721,0,0.043,0.845,0.925,0.589,0.122,0.252,-0.231,-0.191,0.457,0.563,0.566,0.784,0.604,0.637,0.487,0,VEGPHI20231118,-1.5,155,1.5,-190,6,VEG,1.5,0.9900000000000002,VEG,4.634,1.5,Under,0.53,0.91,-145,125,0.69,3,4,PHI,7,1,0,1.5,Over,0,1,-1,-1,0.53
