Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Scott Walker,35,CAR,RW,776,1.95,146,242,388,1253,NA,NA,0.126,3.08,2009,-53
Scott Wedgewood,25,ARI,G,138,55.42,NA,NA,NA,NA,3635,0.9,-0.095,-0.4999999999999998,2018,NA
Scott Wilson,25,PIT,C,69,12.2,6,8,14,98,NA,NA,-1.319,-2.94,2018,-20
Scott Young,30,ANA,RW,1174,0,342,415,757,3495,NA,NA,0.562,21.26,1998,-34
Scottie Upshall,25,ARI,RW,538,12.05,114,117,231,1150,NA,NA,-0.356,-6.19,2009,6
Seamus Casey,21,NJD,D,8,11.97,3,1,4,6,NA,NA,0,0,2025,2
Sean Avery,28,NYR,LW,489,5.05,84,136,220,1015,NA,NA,-0.281,-4.43,2009,18
Sean Bergenheim,24,NYI,LW,428,13.13,86,72,158,1025,NA,NA,-0.553,-7.65,2009,-39
Sean Brown,21,EDM,D,431,0,14,43,57,279,NA,NA,-0.582,-8.48,1998,-8
Sean Burke,31,PHI,G,807,56.69,NA,NA,NA,NA,20738,0.9,0.322,13.12,1998,NA
Sean Collins,25,WSH,D,15,14.53,1,1,2,14,NA,NA,-0.346,-0.18,2009,1
Sean Couturier,24,PHI,C,834,18.77,198,320,518,1837,NA,NA,0.235,6.31,2017,70
Sean Durzi,23,LAK,D,216,20.79,21,87,108,374,NA,NA,0.149,1.1199999999999999,2022,-20
Sean Hill,27,OTT,D,871,0.61,62,236,298,1537,NA,NA,0.101,3.0499999999999994,1998,-47
Sean Kuraly,25,BOS,C,513,13.78,61,83,144,798,NA,NA,-0.937,-15.5,2018,-43
Sean McKenna,20,BUF,RW,403,0,82,78,160,591,NA,NA,-0.405,-5.26,1983,-47
Sean Monahan,22,CGY,C,805,17.95,258,321,579,1847,NA,NA,0.885,23,2017,-35
Sean O'Donnell,37,LAK,D,1224,5.31,31,198,229,888,NA,NA,-0.109,-4.61,2009,87
Sean Pronger,25,PIT,LW,239,0,23,33,56,222,NA,NA,-0.694,-5.35,1998,-35
Sean Shanahan,25,NJD,LW,30,0,1,3,4,33,NA,NA,-1.497,-1.45,1977,-12
Sean Walker,24,LAK,D,348,17.32,28,75,103,582,NA,NA,-0.22,-2.63,2019,-29
Sean Whyte,22,LAK,RW,18,0,0,2,2,7,NA,NA,-1.197,-0.69,1993,1
Sebastian Aho,19,CAR,RW,639,19.01,267,333,600,1775,NA,NA,1.575,32.47,2017,110
Selmar Odelein,21,EDM,D,12,0,0,2,2,17,NA,NA,-1.439,-0.6,1988,-2
Semyon Varlamov,28,COL,G,615,57.4,NA,NA,NA,NA,16907,0.91,0.421,12.78,2017,NA
Serge Aubin,24,COL,LW,373,0,44,64,108,451,NA,NA,-0.574,-6.92,2000,-45
Serge Bernier,23,PHI,RW,300,0,78,118,196,787,NA,NA,0.145,1.4100000000000001,1971,-58
Serge Boisvert,23,TOR,RW,31,0,2,4,6,36,NA,NA,-1.232,-1.23,1983,-12
Serge Lajeunesse,20,DET,D,90,0,1,4,5,86,NA,NA,-1.434,-4.449999999999999,1971,-43
Serge Payer,21,FLA,C,114,0,7,5,12,104,NA,NA,-1.045,-3.84,2001,-7
Serge Savard,22,MTL,D,1038,0,106,333,439,1390,NA,NA,0.779,27.9,1968,462
Sergei Bautin,25,WPG,D,131,0,5,25,30,121,NA,NA,-0.78,-3.5300000000000002,1993,-14
Sergei Berezin,26,TOR,LW,502,0,160,126,286,1503,NA,NA,0.724,11.74,1998,29
Sergei Bobrovsky,28,CBJ,G,727,57.68,NA,NA,NA,NA,19355,0.91,0.444,15.58,2017,NA
Sergei Brylin,24,NJD,C,765,1.45,129,179,308,1016,NA,NA,-0.155,-3.8400000000000003,1998,49
Sergei Fedorov,39,WSH,C,1248,1.65,483,696,1179,3985,NA,NA,1.334,53.68,2009,261
Sergei Gonchar,34,PIT,D,1301,8.16,220,591,811,2866,NA,NA,1.307,58.62,2009,33
Sergei Kostitsyn,21,MTL,LW,353,15.23,67,109,176,414,NA,NA,-0.151,-1.73,2009,23
Sergei Krivokrasov,23,CHI,LW,437,0,85,109,194,880,NA,NA,0.02,0.2999999999999999,1998,4
Sergei Makarov,31,CGY,RW,420,0,134,250,384,610,NA,NA,1.237,16.76,1990,69
Sergei Mylnikov,31,COL,G,10,56.8,NA,NA,NA,NA,282,0.86,-1.631,-0.88,1990,NA
Sergei Nemchinov,34,NYI,C,761,0,152,193,345,1036,NA,NA,-0.08,-1.9500000000000002,1998,52
Sergei Petrenko,25,BUF,LW,14,0,0,4,4,7,NA,NA,-0.916,-0.41,1994,-3
Sergei Priakin,26,CGY,RW,44,0,3,8,11,43,NA,NA,-0.92,-1.3,1990,-10
Sergei Samsonov,30,CAR,LW,880,5.16,230,330,560,1751,NA,NA,0.566,16.03,2009,3
Sergei Starikov,31,NJD,D,16,0,0,1,1,6,NA,NA,-2.581,-1.42,1990,-8
Sergei Varlamov,23,STL,LW,52,0,5,7,12,83,NA,NA,-0.704,-1.18,2002,4
Sergei Vyshedkevich,26,WPG,D,23,0,1,2,3,28,NA,NA,-1.048,-0.83,2001,-7
Sergei Zholtok,25,OTT,RW,587,0,111,146,257,1083,NA,NA,0.007,0.13999999999999982,1998,-36
Sergei Zubov,38,DAL,D,1068,1.33,152,619,771,2266,NA,NA,1.534,56.48,2009,148
Sergey Gusev,23,TBL,D,80,0,4,10,14,82,NA,NA,-0.317,-0.87,1999,-15
Sergey Kalinin,25,NJD,C,121,13.14,10,9,19,108,NA,NA,-1.267,-4.95,2017,-23
Sergio Momesso,20,MTL,LW,709,0,152,193,345,1248,NA,NA,-0.082,-1.8800000000000001,1986,8
Seth Griffith,24,TOR,C,54,13.13,6,9,15,54,NA,NA,-0.968,-1.68,2017,4
Seth Helgeson,26,NJD,D,50,13.65,1,3,4,23,NA,NA,-0.637,-1.1,2017,1
Seth Jarvis,19,CAR,C,265,16.75,75,100,175,563,NA,NA,0.338,2.89,2022,41
Seth Jones,22,CBJ,D,821,23.73,93,325,418,1825,NA,NA,0.361,10.23,2017,-125
Seth Martin,34,STL,G,30,51.63,NA,NA,NA,NA,713,0.91,0.423,0.54,1968,NA
Shakir Mukhamadullin,23,SJS,D,9,15.28,1,0,1,10,NA,NA,0.069,0.02,2025,0
Shane Bowers,25,NJD,C,4,8.25,0,0,0,2,NA,NA,0,0,2025,-1
Shane Churla,21,CAR,RW,488,0,26,45,71,335,NA,NA,-1.056,-16.64,1987,-52
Shane Doan,40,ARI,RW,1540,9.01,402,570,972,3945,NA,NA,0.504,25.05,2017,-54
Shane Endicott,24,PIT,C,41,0,1,1,2,44,NA,NA,-1.418,-1.88,2006,-9
Shane Hnidy,33,BOS,D,547,5.54,16,55,71,450,NA,NA,-0.531,-10.01,2009,16
Shane O'Brien,25,VAN,D,492,14.79,13,76,89,413,NA,NA,-0.338,-5.73,2009,14
Shane Pinto,20,OTT,C,166,16.5,36,43,79,336,NA,NA,-0.293,-1.56,2021,-7
Shane Prince,24,NYI,LW,50,12.97,5,13,18,71,NA,NA,-0.881,-1.42,2017,-9
Shane Willis,23,CAR,RW,165,0,31,43,74,354,NA,NA,0.031,0.16000000000000006,2001,-13
Shane Wright,21,SEA,C,38,13.28,8,10,18,38,NA,NA,0.093,0.11,2025,-1
Shaone Morrisonn,26,WSH,D,469,10.73,11,64,75,289,NA,NA,-0.271,-4.36,2009,34
Shaun Van Allen,30,OTT,C,792,0,84,185,269,811,NA,NA,-0.531,-13.58,1998,54
Shawn Anderson,18,BUF,D,254,0,11,51,62,214,NA,NA,-0.225,-1.98,1987,4
Shawn Antoski,23,VAN,LW,166,0,2,5,7,78,NA,NA,-1.271,-6.8,1994,-18
Shawn Bates,22,BOS,C,463,0,72,126,198,702,NA,NA,-0.134,-2,1998,-26
Shawn Belle,26,EDM,D,9,17.15,0,0,0,8,NA,NA,-0.984,-0.31,2011,-1
Shawn Burr,31,SJS,LW,860,0,180,257,437,1466,NA,NA,-0.059,-1.65,1998,120
Shawn Chambers,31,DAL,D,619,0,50,185,235,1072,NA,NA,0.189,4.04,1998,0
Shawn Cronin,26,WPG,D,291,0,3,18,21,133,NA,NA,-0.993,-9.959999999999999,1990,-35
Shawn Heins,27,SJS,D,119,0,4,12,16,120,NA,NA,-0.5,-2.04,2001,-2
Shawn Horcoff,30,EDM,C,1008,10.05,186,325,511,1523,NA,NA,-0.044,-1.4200000000000006,2009,-27
Shawn Matthias,28,WPG,LW,398,13.61,74,61,135,650,NA,NA,-0.466,-5.98,2017,-33
Shawn McEachern,28,OTT,LW,911,0,256,323,579,2288,NA,NA,0.644,18.93,1998,26
Shawn Thornton,25,CHI,RW,61,0,3,8,11,75,NA,NA,-0.952,-1.87,2003,-1
Shayne Corson,31,MTL,LW,1153,0,273,420,693,2252,NA,NA,0.223,8.299999999999999,1998,46
Shayne Gostisbehere,23,PHI,D,652,20.18,103,291,394,1420,NA,NA,0.643,14.479999999999999,2017,-79
