Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Dave Gagner,33,FLA,C,936,0,317,397,714,2342,NA,NA,0.678,20.47,1998,-64
Dave Gardner,21,STL,C,343,0,73,113,186,603,NA,NA,-0.359,-3.9800000000000004,1974,-63
Dave Hannan,21,PIT,C,840,0,114,191,305,825,NA,NA,-0.663,-17.96,1983,-56
Dave Hanson,25,DAL,D,22,0,1,1,2,11,NA,NA,-1.546,-1.17,1980,-5
Dave Hindmarch,24,CGY,RW,89,0,17,17,34,135,NA,NA,-0.613,-1.7599999999999998,1983,-10
Dave Hoyda,20,PHI,LW,123,0,5,17,22,54,NA,NA,-1.287,-5.11,1978,-7
Dave Hrechkosy,23,CLE,LW,138,0,42,24,66,282,NA,NA,-0.006,-0.02000000000000013,1975,-29
Dave Hudson,23,NYI,C,409,0,59,124,183,558,NA,NA,-0.734,-9.69,1973,-103
Dave Hunter,22,EDM,LW,746,0,133,190,323,1103,NA,NA,-0.449,-10.82,1980,112
Dave Hutchison,22,LAK,D,584,0,19,97,116,655,NA,NA,-0.235,-4.72,1975,64
Dave Hynes,23,BOS,LW,19,0,4,0,4,15,NA,NA,-0.913,-0.56,1975,3
Dave Karpa,26,ANA,D,553,0,18,80,98,479,NA,NA,-0.401,-7.66,1998,-21
Dave Kelly,24,DET,RW,16,0,2,0,2,18,NA,NA,-1.302,-0.67,1977,-8
Dave Keon,27,TOR,C,824,0,235,373,608,2367,NA,NA,0.256,6.789999999999999,1968,-15
Dave Kryskow,22,CHI,LW,220,0,32,56,88,286,NA,NA,-0.636,-4.5200000000000005,1974,-32
Dave Langevin,25,NYI,D,502,0,12,103,115,498,NA,NA,-0.265,-4.58,1980,106
Dave Lewis,20,NYI,D,1002,0,36,187,223,959,NA,NA,-0.195,-6.75,1974,94
Dave Logan,22,CHI,D,209,0,5,29,34,208,NA,NA,-1.214,-8.76,1977,-49
Dave Lowry,32,SJS,LW,1084,0,164,187,351,1277,NA,NA,-0.411,-14.36,1998,-87
Dave Lumley,25,EDM,RW,433,0,98,160,258,604,NA,NA,-0.073,-1,1980,39
Dave Maloney,19,NYR,D,653,0,71,244,315,930,NA,NA,0.676,15.22,1976,81
Dave Manson,31,MTL,D,1103,0,102,288,390,2155,NA,NA,0.253,9.620000000000001,1998,-8
Dave McLlwain,21,PIT,C,497,0,99,106,205,722,NA,NA,-0.388,-6.2299999999999995,1988,-124
Dave Michayluk,20,PHI,RW,13,0,2,6,8,18,NA,NA,-0.392,-0.16,1983,1
Dave Morrison,20,LAK,RW,24,0,3,3,6,16,NA,NA,-1.012,-0.78,1983,-7
Dave Moss,27,CGY,RW,501,12.7,78,100,178,995,NA,NA,-0.744,-12.02,2009,-23
Dave Parro,23,WSH,G,70,53.5,NA,NA,NA,NA,1825,0.88,0.347,1.08,1981,NA
Dave Pasin,19,BOS,RW,71,0,18,19,37,116,NA,NA,-0.143,-0.33,1986,-1
Dave Pichette,20,COL,D,316,0,40,137,177,467,NA,NA,0.479,5.21,1981,-22
Dave Poulin,25,PHI,LW,722,0,203,325,528,1294,NA,NA,0.207,4.82,1984,215
Dave Reece,27,BOS,G,14,55.43,NA,NA,NA,NA,307,0.88,-0.614,-0.35,1976,NA
Dave Reid,33,DAL,LW,950,0,164,204,368,1414,NA,NA,-0.327,-10.02,1998,53
Dave Richter,23,DAL,D,354,0,9,40,49,149,NA,NA,-0.786,-9.59,1984,-36
Dave Roche,23,CGY,C,168,0,15,15,30,148,NA,NA,-0.837,-4.54,1999,-19
Dave Scatchard,21,VAN,C,635,0,125,138,263,1110,NA,NA,0.016,0.3299999999999999,1998,-42
Dave Schultz,23,PHI,LW,534,0,79,121,200,642,NA,NA,-0.595,-10.25,1973,41
Dave Semenko,22,EDM,LW,575,0,65,88,153,391,NA,NA,-0.885,-16.41,1980,5
Dave Shand,20,CGY,D,420,0,19,83,102,385,NA,NA,0.224,3.2499999999999996,1977,79
Dave Silk,23,NYR,RW,247,0,54,59,113,384,NA,NA,-0.454,-3.64,1981,-9
Dave Snuggerud,23,BUF,RW,265,0,30,54,84,403,NA,NA,-0.704,-6.0200000000000005,1990,-23
Dave Taylor,22,LAK,RW,1111,0,431,638,1069,2417,NA,NA,1.169,41.92,1978,186
Dave Thomlinson,23,STL,LW,31,0,1,3,4,29,NA,NA,-1.186,-1.19,1990,-6
Dave Tippett,22,CAR,C,721,0,93,169,262,945,NA,NA,-0.619,-14.38,1984,-53
Dave Tomlinson,24,WPG,C,31,0,1,3,4,29,NA,NA,-1.2,-1.2,1994,-12
Dave Watson,22,NJD,LW,13,0,0,1,1,6,NA,NA,-1.597,-0.67,1981,-2
David Aebischer,22,COL,G,213,57.14,NA,NA,NA,NA,5264,0.91,0.629,5.82,2001,NA
David Backes,32,BOS,RW,943,16.81,247,308,555,2144,NA,NA,0.346,10.53,2017,65
David Booth,24,FLA,LW,443,14.53,113,105,218,1238,NA,NA,-0.085,-1.2199999999999998,2009,-18
David Bruce,21,VAN,RW,232,0,48,39,87,421,NA,NA,-0.36,-2.7,1986,-55
David Clarkson,24,NJD,RW,540,14.16,109,83,192,1212,NA,NA,-0.573,-9.98,2009,-57
David Cooper,23,TOR,D,19,0,3,3,6,23,NA,NA,-0.048,-0.03,1997,-3
David Cullen,25,ARI,D,17,0,0,0,0,3,NA,NA,-3.075,-1.8,2002,-8
David Desharnais,30,EDM,C,518,15.8,87,194,281,596,NA,NA,-0.041,-0.6599999999999999,2017,14
David Dziurzynski,23,OTT,C,12,12.55,2,0,2,20,NA,NA,-1.137,-0.44,2013,-1
David Emma,25,NJD,C,15,0,5,5,10,24,NA,NA,0.181,0.09,1994,0
David Fenyves,22,BUF,D,183,0,2,27,29,143,NA,NA,-0.761,-4.79,1983,-3
David Gustafsson,24,WPG,C,10,8.6,0,0,0,11,NA,NA,0,0,2025,1
David Hale,27,ARI,D,327,7.61,4,25,29,199,NA,NA,-0.755,-8.53,2009,11
David Harlock,27,NYI,D,198,0,2,14,16,102,NA,NA,-1.218,-8.32,1999,-54
David Jensen,19,DAL,C,59,0,8,12,20,59,NA,NA,-0.845,-1.61,1985,-11
David Jiříček,20,CBJ,D,49,14.18,1,10,11,43,NA,NA,-0.44,-0.74,2024,-6
David Jones,24,COL,RW,435,15.19,102,83,185,739,NA,NA,-0.154,-2.18,2009,-37
David Krejčí,30,BOS,C,976,17.4,213,500,713,1695,NA,NA,0.443,13.94,2017,164
David Kämpf,23,CHI,C,506,14.18,45,91,136,585,NA,NA,-1.034,-16.89,2018,-17
David Latta,22,COL,LW,24,0,4,8,12,30,NA,NA,-0.338,-0.26,1989,-8
David LeNeveu,22,ARI,G,15,54.27,NA,NA,NA,NA,342,0.89,-0.972,-0.62,2006,NA
David Legwand,28,NSH,C,1056,9.64,223,381,604,2053,NA,NA,0.184,6.260000000000001,2009,11
David Ling,28,CBJ,RW,85,0,4,4,8,82,NA,NA,-1.091,-2.99,2003,-9
David Mackey,21,CHI,LW,126,0,8,12,20,96,NA,NA,-1.052,-4.27,1988,-29
David Maley,23,MTL,C,463,0,43,81,124,453,NA,NA,-0.823,-12.29,1987,-61
David Nemirovsky,21,FLA,RW,80,0,16,19,35,115,NA,NA,0.007,0.009999999999999953,1998,-2
David Oliver,27,OTT,RW,208,0,48,46,94,293,NA,NA,0.203,1.36,1999,-31
David Pastrňák,20,BOS,RW,623,18.5,335,359,694,2405,NA,NA,2.345,47.13,2017,112
David Perron,28,STL,LW,1140,16.8,310,458,768,2438,NA,NA,0.46,16.93,2017,-2
David Printz,26,PHI,D,12,0,0,0,0,1,NA,NA,-1.549,-0.64,2007,-3
David Rittich,25,CGY,G,215,54.13,NA,NA,NA,NA,5101,0.9,-0.122,-1.1400000000000001,2018,NA
David Roberts,27,VAN,LW,124,0,20,33,53,176,NA,NA,-0.187,-0.75,1998,5
David Rundblad,21,ARI,D,105,13.72,4,20,24,126,NA,NA,-0.568,-2.05,2012,-1
David Sacco,25,ANA,LW,23,0,4,10,14,26,NA,NA,0.017,0.01,1996,1
David Saunders,21,VAN,LW,56,0,7,13,20,100,NA,NA,-0.607,-1.1,1988,-15
David Savard,26,CBJ,D,826,20.55,54,183,237,1107,NA,NA,0.072,2.0500000000000003,2017,-17
David Schlemko,29,SJS,D,412,17.3,18,75,93,554,NA,NA,-0.197,-2.81,2017,11
David Shaw,33,TBL,D,764,0,41,153,194,1103,NA,NA,-0.301,-7.92,1998,-35
David Steckel,26,WSH,C,298,13.13,26,34,60,338,NA,NA,-1.23,-11.82,2009,-7
David Tanabe,19,CAR,D,431,0,29,82,111,649,NA,NA,-0.116,-1.7200000000000002,2000,-49
David Volek,22,NYI,LW,396,0,95,154,249,975,NA,NA,0.173,2.21,1989,-24
David Výborný,26,CBJ,RW,461,2.22,97,156,253,762,NA,NA,0.332,4.949999999999999,2001,-54
David Warsofsky,27,COL,D,38,15.55,1,6,7,58,NA,NA,-1.062,-1.3900000000000001,2018,-5
David Wilkie,23,MTL,D,165,0,10,26,36,187,NA,NA,-1.133,-6.44,1998,-60
David Williams,24,SJS,D,173,0,11,53,64,255,NA,NA,0.2,1.1900000000000002,1992,-37
Davis Drewiske,24,LAK,D,135,15.07,5,20,25,119,NA,NA,-0.513,-2.4,2009,-1
Davis Payne,26,BOS,LW,15,0,0,1,1,8,NA,NA,-1.272,-0.62,1997,-4
Dawson Mercer,20,NJD,C,289,16.92,74,78,152,521,NA,NA,0.037,0.3500000000000001,2022,-18
Daymond Langkow,32,CGY,C,1082,4.87,270,400,670,2446,NA,NA,0.5,17.42,2009,79
Dean Arsene,29,EDM,D,13,12.95,0,0,0,4,NA,NA,-1.606,-0.72,2010,-3
Dean Chynoweth,21,NYI,D,222,0,3,18,21,138,NA,NA,-0.767,-5.859999999999999,1990,-11
Dean Defazio,20,PIT,LW,22,0,0,2,2,12,NA,NA,-1.457,-1.03,1984,-11
Dean Evason,20,CAR,C,801,0,139,233,372,1135,NA,NA,-0.429,-11.08,1985,-92
Dean Hopkins,20,LAK,RW,217,0,23,49,72,222,NA,NA,-0.893,-6.26,1980,-35
Dean Kennedy,20,LAK,D,717,0,26,110,136,528,NA,NA,-0.394,-9.72,1983,-55
Dean Kolstad,20,DAL,D,25,0,1,5,6,41,NA,NA,-0.865,-0.75,1989,-5
Dean Kukan,24,CBJ,D,145,14.93,5,25,30,149,NA,NA,-0.478,-2.39,2018,-6
Dean Malkoc,28,BOS,D,114,0,1,2,3,30,NA,NA,-1.95,-7.66,1998,-36
Dean McAmmond,36,NJD,LW,855,0.93,172,236,408,1347,NA,NA,0.117,3.2199999999999998,2010,31
Dean Prentice,35,DET,LW,455,0,126,146,272,1115,NA,NA,0.332,4.88,1968,-31
Dean Sylvester,27,WPG,RW,95,0,21,16,37,180,NA,NA,0.028,0.07999999999999996,2000,-30
Dean Talafous,21,CGY,RW,497,0,104,154,258,750,NA,NA,-0.202,-3.25,1975,-76
Dean Turner,21,NJD,D,27,0,1,0,1,24,NA,NA,-0.358,-0.33,1980,0
Declan Chisholm,24,WPG,D,66,16.95,5,14,19,71,NA,NA,-0.696,-1.59,2024,-3
Denis Arkhipov,21,NSH,C,352,0,56,82,138,511,NA,NA,-0.179,-2.02,2001,-51
Denis Chassé,24,STL,RW,129,0,11,13,24,91,NA,NA,-0.774,-3.21,1995,1
Denis Cyr,20,CGY,RW,174,0,35,36,71,215,NA,NA,-0.56,-3.1500000000000004,1982,1
Denis DeJordy,29,CHI,G,231,55.56,NA,NA,NA,NA,6170,0.89,-0.502,-5.359999999999999,1968,NA
Denis Dupéré,24,TOR,LW,335,1.91,NA,NA,NA,NA,NA,NA,-0.18,-1.8599999999999999,1973,NA
Denis Gauthier,32,LAK,D,544,1.74,17,60,77,433,NA,NA,-0.274,-5.1499999999999995,2009,0
Denis Grebeshkov,25,EDM,D,223,17.1,17,66,83,167,NA,NA,0.286,2.21,2009,-14
Denis Gurianov,22,DAL,RW,276,13.87,51,58,109,548,NA,NA,-0.534,-4.76,2020,2
Denis Hamel,23,BUF,C,180,0,17,12,29,218,NA,NA,-0.846,-4.91,2001,-7
Denis Herron,20,PIT,G,454,55.32,NA,NA,NA,NA,12462,0.89,0.494,11.07,1973,NA
Denis Malgin,21,FLA,C,101,13.37,18,20,38,145,NA,NA,-0.558,-1.8199999999999998,2018,-6
Denis Pederson,22,NJD,C,425,0,54,70,124,618,NA,NA,-0.52,-7.13,1998,-17
Denis Potvin,20,NYI,D,1060,0,310,742,1052,3050,NA,NA,2.142,78.3,1974,456
Denis Savard,19,CHI,C,1196,0,473,865,1338,3142,NA,NA,1.026,39.56,1981,103
Denis Shvidki,20,FLA,RW,66,0,10,12,22,57,NA,NA,-0.302,-0.64,2001,-1
Denis Tsygurov,23,LAK,D,43,0,1,5,6,41,NA,NA,-0.426,-0.63,1995,-3
DenisParisé,23,TOR,LW,287,0,52,67,119,453,NA,NA,-0.229,-2.13,1972,-39
Dennis Abgrall,22,LAK,RW,13,0,0,2,2,9,NA,NA,-1.516,-0.64,1976,-7
Dennis Bonvie,26,PIT,RW,63,0,1,2,3,14,NA,NA,-1.271,-2.59,2000,0
Dennis Cholowski,20,DET,D,139,17.24,13,25,38,165,NA,NA,-0.695,-3.33,2019,-48
Dennis Gilbert,23,CHI,D,68,13.01,2,9,11,37,NA,NA,-1.2,-2.81,2020,-16
Dennis Hextall,25,NYR,C,681,0,153,350,503,1102,NA,NA,0.11,2.3899999999999997,1969,-135
Dennis Hildeby,23,TOR,G,4,60.4,NA,NA,NA,NA,107,0.89,-0.288,-0.08,2025,NA
Dennis Hull,23,CHI,LW,809,0,267,325,592,2336,NA,NA,0.666,17.4,1968,21
Dennis Kearns,26,VAN,D,677,0,31,290,321,899,NA,NA,0.177,4.14,1972,-155
Dennis Maruk,20,CLE,C,882,0,356,521,877,2223,NA,NA,0.911,25.92,1976,-78
Dennis O'Brien,21,DAL,D,589,0,31,91,122,554,NA,NA,-0.459,-9.34,1971,-50
Dennis Owchar,21,PIT,D,278,0,29,85,114,458,NA,NA,0.005,0.03999999999999998,1975,-76
Dennis Patterson,25,NJD,D,135,0,6,21,27,129,NA,NA,-0.646,-3.01,1975,-84
Dennis Polonich,22,DET,C,375,0,59,81,140,576,NA,NA,-0.598,-7.23,1976,-72
Dennis Seidenberg,35,NYI,D,854,17.38,44,207,251,1416,NA,NA,0.039,1.15,2017,43
Dennis Sobchuk,26,DET,C,33,0,4,6,10,47,NA,NA,-0.96,-1.02,1980,-11
Dennis Vaske,30,NYI,D,227,0,5,41,46,214,NA,NA,0.021,0.1700000000000002,1998,30
Dennis Ververgaert,20,VAN,RW,583,0,176,216,392,1102,NA,NA,0.481,9.04,1974,-68
Dennis Vial,28,OTT,LW,222,0,4,13,17,102,NA,NA,-0.792,-6,1998,-28
Dennis Wideman,33,CGY,D,815,19.47,99,288,387,1624,NA,NA,0.453,12.73,2017,-72
Denny Lambert,28,OTT,LW,487,0,27,66,93,420,NA,NA,-0.864,-13.58,1998,-23
Denton Mateychuk,20,CBJ,D,7,17.85,0,1,1,5,NA,NA,-1.766,-0.43,2025,-3
Derek Armstrong,29,LAK,C,398,2.57,65,145,210,593,NA,NA,-0.036,-0.4399999999999999,2003,10
Derek Boogaard,23,MIN,LW,113,0,2,5,7,26,NA,NA,-1.226,-4.470000000000001,2006,2
Derek Dorsett,31,VAN,RW,347,13.46,38,58,96,493,NA,NA,-1.056,-11.82,2018,-47
Derek Forbort,24,LAK,D,495,19.52,16,80,96,474,NA,NA,-0.263,-4.49,2017,28
Derek Grant,29,PHI,C,219,14.38,41,46,87,349,NA,NA,-0.458,-3.23,2020,-23
Derek Joslin,22,SJS,D,58,14.69,2,10,12,53,NA,NA,-0.159,-0.31,2010,6
Derek King,30,TOR,LW,828,0,261,351,612,1781,NA,NA,0.845,22.59,1998,9
Derek Laxdal,22,TOR,RW,53,0,12,7,19,61,NA,NA,-0.351,-0.6,1989,-15
Derek MacKenzie,35,FLA,C,240,12.06,17,24,41,249,NA,NA,-1.334,-10.33,2017,-17
Derek Mayer,26,OTT,D,17,0,2,2,4,29,NA,NA,-1.569,-0.92,1994,-16
Derek Meech,28,WPG,D,48,12.99,0,4,4,49,NA,NA,-1.653,-2.74,2013,-5
Derek Morris,30,NYR,D,1107,8.83,92,332,424,2029,NA,NA,0.318,12.15,2009,-44
Derek Peltier,23,COL,D,11,13.25,0,0,0,7,NA,NA,-2.284,-0.87,2009,-4
Derek Plante,27,BUF,C,450,0,96,152,248,926,NA,NA,0.087,1.2499999999999998,1998,17
Derek Roy,25,BUF,C,738,13.66,189,335,524,1583,NA,NA,0.59,14.05,2009,29
Derek Ryan,30,CAR,C,328,14.19,50,89,139,430,NA,NA,-0.434,-4.59,2017,2
Derek Sanderson,21,BOS,C,594,0,202,250,452,1552,NA,NA,0.501,9.61,1968,142
Derek Smith,26,OTT,D,408,2.83,80,127,207,635,NA,NA,-0.209,-2.79,2011,24
Derek Stepan,26,NYR,C,759,18.33,168,317,485,1804,NA,NA,0.278,6.79,2017,90
Derian Hatcher,25,DAL,D,1045,0.89,80,251,331,1431,NA,NA,0.424,15.28,1998,74
Derick Brassard,29,OTT,C,996,15.81,214,329,543,1922,NA,NA,0.042,1.3399999999999999,2017,-24
Deron Quint,21,ARI,D,458,0,46,97,143,883,NA,NA,-0.265,-4.18,1998,-108
Derrick Pouliot,23,PIT,D,211,17.07,8,44,52,236,NA,NA,-0.497,-3.6300000000000003,2017,-28
Derrick Smith,20,PHI,LW,527,0,82,91,173,870,NA,NA,-0.601,-10.22,1985,-11
Derrick Walser,24,CBJ,D,80,0,5,21,26,121,NA,NA,0.352,0.97,2003,-15
Deryk Engelland,34,CGY,D,671,16.45,30,97,127,730,NA,NA,-0.404,-9.35,2017,4
Devan Dubnyk,30,MIN,G,542,56.81,NA,NA,NA,NA,14194,0.91,0.227,5.76,2017,NA
Devante Smith-Pelly,24,NJD,RW,334,12.92,40,53,93,466,NA,NA,-0.969,-10.45,2017,-31
Devin Setoguchi,30,LAK,RW,516,15.21,131,130,261,1187,NA,NA,-0.029,-0.48999999999999977,2017,-11
Devin Shore,22,DAL,C,261,14.11,34,61,95,336,NA,NA,-0.654,-5.51,2017,-47
Devon Levi,22,BUF,G,31,55.41,NA,NA,NA,NA,796,0.89,-0.511,-0.9299999999999999,2024,NA
Devon Toews,24,NYI,D,434,23.2,57,197,254,869,NA,NA,1.799,26.93,2019,167
Dick Cherry,31,PHI,D,139,0,12,10,22,190,NA,NA,-0.942,-4.52,1969,-39
Dick Duff,31,MTL,LW,243,0,58,64,122,378,NA,NA,0.165,1.2899999999999998,1968,-51
Dick Lamby,24,STL,D,12,0,0,1,1,12,NA,NA,-2.465,-1.02,1980,-7
Dick Mattiussi,29,PIT,D,200,0,8,31,39,188,NA,NA,-0.427,-2.94,1968,-61
Dick Redmond,21,DAL,D,764,0,133,311,444,2092,NA,NA,0.49,12.93,1971,-5
Dick Sarrazin,23,PHI,RW,100,0,20,35,55,198,NA,NA,-0.151,-0.4800000000000001,1969,-9
Dick Tärnströ,30,LAK,D,80,0,4,38,42,119,NA,NA,0.811,2.24,2002,-4
Dick Tärnström,28,PIT,D,189,4.92,26,81,107,317,NA,NA,0.959,6.26,2003,-59
Dickie Moore,37,STL,LW,27,0,5,3,8,37,NA,NA,-0.799,-0.7,1968,-8
Dillon Dubé,21,CGY,C,257,13.71,53,62,115,438,NA,NA,-0.31,-2.57,2020,-6
Dillon Heatherington,26,OTT,D,9,12.33,0,0,0,4,NA,NA,-1.238,-0.38,2022,-1
Dino Ciccarelli,37,FLA,RW,1232,0,608,592,1200,3706,NA,NA,1.571,62.46,1998,-4
Dion Phaneuf,31,OTT,D,1048,19.82,137,357,494,2514,NA,NA,0.586,21.169999999999998,2017,-57
Dirk Graham,25,DAL,RW,766,0,218,269,487,1809,NA,NA,0.31,7.66,1985,1
Dixon Ward,29,BUF,RW,521,0,93,127,220,698,NA,NA,-0.043,-0.7199999999999999,1998,44
Dmitri Bykov,25,DET,D,71,0,2,10,12,58,NA,NA,-0.409,-1,2003,1
Dmitri Filimonov,22,OTT,D,30,0,1,4,5,15,NA,NA,-0.413,-0.43,1994,-10
Dmitri Kalinin,28,ARI,D,535,3.9,36,126,162,616,NA,NA,0.133,2.46,2009,2
Dmitri Khristich,28,BOS,RW,811,0,259,337,596,1516,NA,NA,0.994,26.009999999999998,1998,104
Dmitri Kvartalnov,26,BOS,RW,112,0,42,49,91,294,NA,NA,0.788,2.8499999999999996,1993,0
Dmitri Mironov,32,DET,D,549,0,53,206,259,971,NA,NA,0.591,11.21,1998,33
Dmitri Nabokov,21,CHI,C,51,0,11,11,22,74,NA,NA,-0.022,-0.03,1998,-9
Dmitri Tertyshny,22,PHI,D,62,0,2,8,10,68,NA,NA,-0.141,-0.3,1999,-1
Dmitri Voronkov,23,CBJ,LW,107,14.51,35,27,62,209,NA,NA,0.431,1.49,2024,5
Dmitrij Jaškin,28,ARI,RW,12,14.78,0,1,1,23,NA,NA,-1.576,-0.61,2022,-6
Dmitry Afanasenkov,23,TBL,RW,213,0,26,26,52,272,NA,NA,-0.603,-4.140000000000001,2004,-36
Dmitry Kulikov,26,BUF,D,989,19.47,49,193,242,1144,NA,NA,-0.334,-11.4,2017,-28
Dmitry Orlov,25,WSH,D,827,19.98,74,242,316,1189,NA,NA,0.588,16.77,2017,128
Dmitry Yushkevich,26,TOR,D,786,0,43,182,225,1120,NA,NA,-0.085,-2.31,1998,-21
Dody Wood,20,SJS,C,89,0,7,9,16,86,NA,NA,-0.985,-2.8200000000000003,1993,-8
Domenic Pittis,26,EDM,C,69,0,4,11,15,60,NA,NA,-0.833,-1.85,2001,-7
Dominic Lavoie,22,STL,D,13,0,1,1,2,20,NA,NA,-1.582,-0.71,1990,-5
Dominic Moore,36,BOS,C,769,11.68,94,155,249,1218,NA,NA,-0.773,-19.169999999999998,2017,-26
Dominic Roussel,28,ANA,G,189,52.51,NA,NA,NA,NA,4470,0.9,0.121,1.4100000000000001,1999,NA
Dominik Hašek,33,BUF,G,682,56.93,NA,NA,NA,NA,NA,NA,1.332,43.42,1998,NA
Dominik Kahun,23,CHI,C,186,13.54,34,49,83,293,NA,NA,-0.309,-1.85,2019,15
Dominik Kubalík,28,NSH,C,501,14.66,124,115,239,958,NA,NA,-0.048,-0.78,2020,-61
Dominik Simon,24,PIT,C,135,13.83,15,35,50,223,NA,NA,-0.752,-3.27,2019,-1
Don Ashby,20,TOR,C,182,0,38,53,91,256,NA,NA,-0.453,-2.66,1976,-19
Don Awrey,24,BOS,D,842,0,23,152,175,866,NA,NA,-0.235,-6.819999999999999,1968,150
Don Barber,24,DAL,LW,115,0,25,32,57,195,NA,NA,-0.186,-0.7,1989,-6
Don Beaupre,19,DAL,G,663,56.16,NA,NA,NA,NA,16474,0.89,0.178,6.55,1981,NA
Don Blackburn,29,PHI,LW,175,0,23,39,62,315,NA,NA,-0.756,-4.27,1968,-49
Don Dietrich,22,CHI,D,17,0,0,5,5,22,NA,NA,-0.306,-0.18,1984,-1
Don Edwards,21,BUF,G,459,56.96,NA,NA,NA,NA,11380,0.89,0.587,12.22,1977,NA
Don Gibson,23,VAN,D,14,0,0,3,3,9,NA,NA,-0.233,-0.11,1991,-1
Don Gillen,21,CAR,RW,34,0,1,4,5,25,NA,NA,-1.508,-1.65,1982,-11
Don Howse,27,LAK,LW,33,0,2,5,7,46,NA,NA,-1.102,-1.17,1980,-16
Don Jackson,26,EDM,D,280,0,16,45,61,217,NA,NA,-0.217,-2.1100000000000003,1983,72
Don Kozak,20,LAK,RW,437,0,96,86,182,557,NA,NA,-0.234,-3.29,1973,-39
Don Laurence,21,CGY,C,79,0,15,21,36,148,NA,NA,-0.535,-1.3599999999999999,1979,1
Don Lever,20,VAN,C,1010,0,310,365,675,2148,NA,NA,0.234,7.63,1973,-245
Don Luce,21,NYR,C,894,0,225,328,553,1912,NA,NA,-0.04,-1.1600000000000008,1970,195
Don Maloney,20,NYR,LW,765,0,214,350,564,1203,NA,NA,0.411,10.15,1979,42
Don Marcotte,22,BOS,LW,860,0,229,254,483,1546,NA,NA,0.145,4.029999999999999,1970,192
Don Marshall,35,NYR,LW,313,0,70,107,177,536,NA,NA,0.12,1.21,1968,28
Don Martineau,22,DAL,RW,76,0,6,9,15,54,NA,NA,-1.229,-3.01,1975,-12
Don McKenney,33,STL,C,39,0,9,20,29,93,NA,NA,0.232,0.29,1968,1
Don McLeod,24,DET,G,14,49.79,NA,NA,NA,NA,346,0.85,-2.824,-1.88,1971,NA
Don McSween,29,ANA,D,32,0,3,9,12,43,NA,NA,0.739,0.82,1994,4
Don Murdoch,20,NYR,RW,320,0,121,117,238,921,NA,NA,0.667,6.88,1977,-35
Don Nachbaur,22,CAR,C,212,0,22,44,66,216,NA,NA,-0.945,-6.45,1981,-20
Don O'Donoghue,20,CLE,RW,125,0,18,17,35,129,NA,NA,-0.786,-3.17,1970,-52
Don Saleski,23,PHI,RW,542,0,128,125,253,1164,NA,NA,-0.193,-3.3899999999999997,1973,73
Don Spring,21,WPG,D,259,0,1,54,55,179,NA,NA,-0.612,-5.46,1981,-54
Don Sweeney,31,BOS,D,1115,0,52,221,273,1318,NA,NA,0.196,7.529999999999999,1998,112
Don Tannahill,23,VAN,LW,111,0,30,33,63,229,NA,NA,0.085,0.3,1973,-26
Donald Audette,28,BUF,RW,727,0,256,246,502,1894,NA,NA,0.961,22.55,1998,-16
Donald Brashear,26,VAN,LW,846,0,79,113,192,895,NA,NA,-0.667,-18.19,1998,-71
Donald Dufresne,21,MTL,D,265,0,6,36,42,154,NA,NA,-0.645,-5.89,1989,-1
Donald MacLean,21,LAK,C,22,0,5,2,7,25,NA,NA,-0.238,-0.17,1998,-1
Doug Barrie,24,BUF,D,150,0,9,41,50,221,NA,NA,0.001,0,1971,-50
Doug Berry,22,NJD,C,121,0,10,33,43,110,NA,NA,-0.986,-3.8499999999999996,1980,-38
Doug Bodger,31,NJD,D,1071,0,106,422,528,2037,NA,NA,0.426,15.72,1998,-35
Doug Brown,33,DET,C,850,0,160,213,373,1524,NA,NA,-0.133,-3.65,1998,116
Doug Crossman,21,CHI,D,905,0,105,357,462,1477,NA,NA,0.327,10.18,1982,36
Doug Dadswell,23,CGY,G,25,48.72,NA,NA,NA,NA,539,0.86,-1.62,-1.67,1988,NA
Doug Doull,29,BOS,LW,35,0,0,1,1,4,NA,NA,-1.365,-1.54,2004,2
Doug Evans,22,STL,C,355,0,48,87,135,349,NA,NA,-0.522,-5.98,1986,-5
Doug Favell,22,PHI,G,363,55.62,NA,NA,NA,NA,10182,0.91,0.584,10.64,1968,NA
Doug Friedman,26,EDM,LW,16,0,0,0,0,8,NA,NA,-1.357,-0.7,1998,0
Doug Gibson,22,BOS,C,50,0,7,18,25,41,NA,NA,-0.644,-1.04,1976,8
Doug Gilmour,34,NJD,C,1474,0,450,964,1414,2834,NA,NA,0.883,41.98,1998,129
Doug Grant,25,DET,G,54,55.11,NA,NA,NA,NA,1292,0.87,-1.193,-2.9400000000000004,1974,NA
Doug Halward,20,BOS,D,653,0,69,224,293,1158,NA,NA,-0.032,-0.7300000000000002,1976,-96
Doug Harvey,44,STL,D,70,0,2,20,22,46,NA,NA,-0.525,-1.27,1969,11
Doug Hicks,19,DAL,D,555,0,37,131,168,677,NA,NA,-0.123,-2.3400000000000007,1975,-73
Doug Houda,31,NYI,D,539,0,18,61,79,349,NA,NA,-0.651,-12.1,1998,-39
Doug Janik,29,DET,D,97,3.15,2,12,14,60,NA,NA,-0.868,-2.9,2010,-12
Doug Jarrett,23,CHI,D,584,0,27,134,161,895,NA,NA,-0.036,-0.7100000000000002,1968,78
